"Position (m) Run #1","Magnetic Field Strength (1X) (G) Run #1","Position (m) Run #2","Magnetic Field Strength (1X) (G) Run #2","Position (m) Run #3","Magnetic Field Strength (1X) (G) Run #3"
-0.1155,11,-0.1567,25,-0.2013,18
-0.1162,,-0.1582,,-0.2028,
-0.1171,12,-0.1595,25,-0.2043,17
-0.1181,,-0.1608,,-0.2059,
-0.1192,13,-0.1621,26,-0.2077,16
-0.1203,,-0.1636,,-0.2097,
-0.1215,13,-0.1651,26,-0.2119,14
-0.1225,,-0.1667,,-0.2143,
-0.1234,14,-0.1682,26,-0.2168,13
-0.1243,,-0.1697,,-0.2193,
-0.1250,14,-0.1712,26,-0.2217,11
-0.1257,,-0.1726,,-0.2238,
-0.1263,15,-0.1739,26,-0.2262,10
-0.1269,,-0.1752,,-0.2284,
-0.1274,15,-0.1765,26,-0.2303,9
-0.1279,,-0.1779,,-0.2320,
-0.1286,15,-0.1792,25,-0.2335,8
-0.1293,,-0.1805,,-0.2348,
-0.1300,16,-0.1818,25,-0.2361,8
-0.1310,,-0.1830,,-0.2374,
-0.1320,17,-0.1842,24,-0.2386,7
-0.1330,,-0.1855,,-0.2399,
-0.1342,18,-0.1868,23,-0.2410,7
-0.1354,,-0.1883,,-0.2421,
-0.1367,19,-0.1899,22,-0.2431,7
-0.1381,,-0.1916,,-0.2440,
-0.1396,20,-0.1932,21,-0.2448,6
-0.1411,,-0.1948,,-0.2457,
-0.1427,21,-0.1961,20,-0.2465,6
-0.1442,,-0.1973,,-0.2474,
-0.1458,22,-0.1984,20,-0.2483,6
-0.1473,,-0.1995,,-0.2492,
-0.1487,23,-0.2006,19,-0.2502,6
-0.1500,,-0.2017,,-0.2512,
-0.1512,24,-0.2028,18,-0.2523,5
-0.1524,,-0.2041,,-0.2533,
-0.1534,24,-0.2053,17,-0.2544,5
-0.1544,,-0.2066,,-0.2556,
-0.1554,25,-0.2080,16,-0.2569,5
-0.1562,,-0.2094,,-0.2581,
-0.1570,25,-0.2108,15,-0.2593,4
-0.1578,,-0.2123,,-0.2605,
-0.1585,25,-0.2136,14,-0.2618,4
-0.1593,,-0.2149,,-0.2631,
-0.1601,26,-0.2160,13,-0.2645,4
-0.1609,,-0.2169,,-0.2660,
-0.1619,26,-0.2178,13,-0.2675,4
-0.1631,,-0.2187,,-0.2688,
-0.1642,26,-0.2197,12,-0.2700,3
-0.1653,,-0.2208,,-0.2710,
-0.1665,27,-0.2220,11,-0.2719,3
-0.1676,,-0.2234,,-0.2727,
-0.1685,27,-0.2247,11,-0.2736,3
-0.1694,,-0.2261,,-0.2745,
-0.1703,27,-0.2275,10,-0.2754,3
-0.1710,,-0.2290,,-0.2765,
-0.1717,27,-0.2305,9,-0.2776,3
-0.1724,,-0.2320,,-0.2788,
-0.1729,27,-0.2335,8,-0.2800,3
-0.1734,,-0.2350,,-0.2812,
-0.1739,27,-0.2363,8,-0.2825,2
-0.1743,,-0.2375,,-0.2838,
-0.1748,26,-0.2385,8,-0.2851,2
-0.1754,,-0.2394,,-0.2863,
-0.1759,26,-0.2402,7,-0.2875,2
-0.1765,,-0.2409,,-0.2886,
-0.1772,26,-0.2416,7,-0.2898,2
-0.1778,,-0.2424,,-0.2910,
-0.1785,26,-0.2432,7,-0.2922,2
