0,0,473
0,30,460
1,0,458
1,30,451
2,0,447
2,30,444
3,0,443
3,30,444
4,0,446
4,30,451
5,0,457
5,30,464
6,0,470
6,30,477
7,0,483
7,30,487
8,0,489
8,30,489
9,0,487
9,30,485
10,0,480
10,30,474
11,0,467
11,30,461
12,0,455
12,30,451
13,0,446
13,30,444
14,0,443
14,30,445
15,0,447
15,30,451
16,0,456
16,30,461
17,0,466
17,30,470
18,0,474
18,30,477
19,0,478
19,30,479
20,0,478
20,30,477
21,0,474
21,30,471
22,0,469
22,30,465
23,0,462
23,30,459
24,0,457
24,30,456
25,0,455
25,30,456
26,0,457
26,30,458
27,0,460
27,30,463
28,0,466
28,30,468
29,0,470
29,30,471
30,0,472
