0,0,522
0,30,527
1,0,530
1,30,531
2,0,528
2,30,524
3,0,518
3,30,510
4,0,503
4,30,494
5,0,487
5,30,480
6,0,475
6,30,472
7,0,472
7,30,473
8,0,476
8,30,481
9,0,488
9,30,495
10,0,503
10,30,511
11,0,518
11,30,525
12,0,529
12,30,532
13,0,533
13,30,531
14,0,528
14,30,524
15,0,519
15,30,513
16,0,506
16,30,500
17,0,496
17,30,492
18,0,489
18,30,489
19,0,490
19,30,493
20,0,496
20,30,500
21,0,504
21,30,509
22,0,514
22,30,516
23,0,519
23,30,520
24,0,520
24,30,519
25,0,517
25,30,514
26,0,511
26,30,517
27,0,503
27,30,499
28,0,496
28,30,493
29,0,491
29,30,490
30,0,490
