nr,dato,prove,del1,del2,total,del1_pct,del2_pct,total_pct,notat
1,2026-04-30,24K_V1,44.58,31.50,76.08,74.3,52.5,63.4,"Del 1 regnet fra fasit/PDF. Del 2 fra svar.txt, oppg. 20 satt til 0."
2,2026-04-30,24K_v2,46.25,32.50,78.75,77.1,54.2,65.6,Fra eksamner/24K_v2/retting_svar.txt.
3,2026-04-30,Share 69f38018,29.60,51.00,80.60,49.3,85.0,67.2,Fra ChatGPT-share 69f38018.
4,2026-04-30,Share 69f38038,47.00,36.00,83.00,78.3,60.0,69.2,Fra ChatGPT-share 69f38038.
