-0.1950,21,-0.2717,3,-0.3123,1
-0.1955,21,-0.2737,3,-0.3136,1
-0.1961,21,-0.2764,3,-0.3151,1
-0.1970,21,-0.2796,3,-0.3169,1
-0.1983,20,-0.2827,2,-0.3189,1
-0.1992,20,-0.2856,2,-0.3212,1
-0.1996,20,-0.2880,2,-0.3233,1
-0.2002,19,-0.2901,2,-0.3252,1
-0.2008,19,-0.2921,2,-0.3269,1
-0.2018,19,-0.2942,2,-0.3283,1
-0.2029,18,-0.2963,2,-0.3298,1
-0.2041,18,-0.2981,2,-0.3312,1
-0.2057,17,-0.2995,2,-0.3325,1
-0.2079,16,-0.3008,2,-0.3337,1
-0.2102,15,-0.3020,2,-0.3347,0
-0.2128,15,-0.3032,1,-0.3358,0
-0.2153,14,-0.3046,1,-0.3370,0
-0.2176,13,-0.3060,1,-0.3382,0
-0.2197,12,-0.3074,1,-0.3394,0
-0.2215,12,-0.3087,1,-0.3404,0
-0.2233,11,-0.3100,1,-0.3414,0
-0.2252,11,-0.3115,1,-0.3422,0
-0.2272,10,-0.3130,1,-0.3429,0
-0.2295,10,-0.3144,1,-0.3438,0
-0.2317,9,-0.3159,1,-0.3447,0
-0.2337,9,-0.3174,1,-0.3456,0
-0.2353,8,-0.3191,1,-0.3463,0
-0.2366,8,-0.3207,1,-0.3465,0
-0.2377,8,-0.3223,1,-0.3465,0
-0.2389,8,-0.3240,1,-0.3466,0
-0.2406,7,-0.3256,1,-0.3466,0
-0.2424,7,-0.3273,1,-0.3466,0
-0.2440,7,-0.3290,1,-0.3466,0
-0.2456,7,-0.3305,1,-0.3466,0
-0.2475,6,-0.3318,1,-0.3466,0
