"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.279508334E-1,-4.806518555E-1,1.260636616E1,-5.030314636E1,5.186094897E1
7.379948334E-1,-5.236816406E-1,1.257807350E1,-5.046444702E1,5.201098527E1
7.480398334E-1,-4.400634766E-1,1.254500198E1,-5.032048035E1,5.186252475E1
7.580838334E-1,-3.786315918E-1,1.254682255E1,-5.025173950E1,5.179578594E1
7.681278334E-1,-4.044494629E-1,1.253066063E1,-5.022052002E1,5.176177804E1
7.781728334E-1,-3.259277344E-1,1.259453678E1,-5.049990845E1,5.204776017E1
7.882168334E-1,-4.951477051E-1,1.246779537E1,-5.064471436E1,5.215916204E1
7.982608334E-1,-3.843994141E-1,1.252123642E1,-5.044537354E1,5.197754165E1
8.083058334E-1,-4.197692871E-1,1.259483624E1,-5.019468689E1,5.175241732E1
8.183498334E-1,-4.570007324E-1,1.269468403E1,-5.020524597E1,5.178735922E1
8.283938334E-1,-3.587646484E-1,1.268716621E1,-5.015037537E1,5.173154790E1
8.384378334E-1,-3.850402832E-1,1.268638039E1,-5.040563965E1,5.197904397E1
8.484828334E-1,-3.721008301E-1,1.268026161E1,-5.059379578E1,5.215994310E1
8.585268334E-1,-3.914184570E-1,1.265912247E1,-5.039202881E1,5.195924516E1
8.685718334E-1,-5.116271973E-1,1.268991470E1,-5.041900635E1,5.199396021E1
8.786158334E-1,-3.998718262E-1,1.264020157E1,-5.021498108E1,5.178299835E1
8.886598333E-1,-4.219360352E-1,1.269244385E1,-5.026264954E1,5.184216526E1
8.987038333E-1,-4.167480469E-1,1.263910961E1,-5.019790649E1,5.176630745E1
9.087488333E-1,-3.868408203E-1,1.251087379E1,-5.049824524E1,5.202638159E1
9.187928333E-1,-5.524291992E-1,1.261961365E1,-5.044480896E1,5.200229397E1
9.288368333E-1,-3.848876953E-1,1.259610176E1,-5.043156433E1,5.198223349E1
9.388818333E-1,-4.413146973E-1,1.260014057E1,-5.035069275E1,5.190520746E1
9.489258333E-1,-4.835510254E-1,1.268015862E1,-5.044514465E1,5.201665948E1
9.589698333E-1,-5.379943848E-1,1.257596779E1,-5.048939514E1,5.203482897E1
9.690148333E-1,-5.583190918E-1,1.267168427E1,-5.046125793E1,5.203097015E1
9.790588333E-1,-4.630737305E-1,1.263582134E1,-5.030317688E1,5.186798649E1
9.891028333E-1,-4.932556152E-1,1.259306240E1,-5.021600342E1,5.177330896E1
9.991478333E-1,-4.993896484E-1,1.254419327E1,-5.017655945E1,5.172323745E1
1.009191833E0,-5.118408203E-1,1.257731056E1,-5.028843689E1,5.183992291E1
1.019235833E0,-6.418762207E-1,1.272482395E1,-5.060598755E1,5.218523858E1
1.029280833E0,-5.855407715E-1,1.268387890E1,-5.058140564E1,5.215076450E1
1.039324833E0,-6.079101562E-1,1.258559608E1,-5.061582947E1,5.216060751E1
1.049368833E0,-5.867919922E-1,1.256769943E1,-5.061135864E1,5.215171155E1
1.059413833E0,-5.867919922E-1,1.256769943E1,-5.061135864E1,5.215171155E1
1.069457833E0,-5.079345703E-1,1.263140965E1,-5.054786682E1,5.210467683E1
1.079501833E0,-6.804809570E-1,1.255682182E1,-5.047659302E1,5.201945089E1
1.089546833E0,-6.104431152E-1,1.265196800E1,-5.063105774E1,5.219146427E1
1.099590833E0,-4.251403809E-1,1.257185268E1,-5.060928345E1,5.214913034E1
1.109634833E0,-5.302734375E-1,1.253439140E1,-5.070887756E1,5.223774901E1
1.119678833E0,-5.188293457E-1,1.265510273E1,-5.050550842E1,5.206944584E1
1.129723833E0,-5.213623047E-1,1.260399723E1,-5.063792419E1,5.218555290E1
1.139767833E0,-4.564208984E-1,1.268256569E1,-5.053358459E1,5.210277310E1
1.149811833E0,-4.888000488E-1,1.264503098E1,-5.080294800E1,5.235527919E1
1.159856833E0,-4.939880371E-1,1.268507481E1,-5.069444275E1,5.225975194E1
1.169900833E0,-4.801330566E-1,1.265760040E1,-5.054302979E1,5.210607676E1
1.179944833E0,-5.095520020E-1,1.250419426E1,-5.067835999E1,5.220067708E1
1.189989833E0,-4.506225586E-1,1.262757778E1,-5.072526550E1,5.227534162E1
1.200033833E0,-5.220031738E-1,1.255433464E1,-5.055589294E1,5.209397390E1
1.210077833E0,-5.558776855E-1,1.254730892E1,-5.060958862E1,5.214474491E1
1.220122833E0,-5.628051758E-1,1.250842381E1,-5.064903259E1,5.217376657E1
1.230166833E0,-5.133666992E-1,1.258478355E1,-5.043374634E1,5.198271917E1
1.240210833E0,-5.575866699E-1,1.254353046E1,-5.057215881E1,5.210752639E1
1.250255833E0,-5.740661621E-1,1.247703457E1,-5.054058838E1,5.206108928E1
1.260299833E0,-6.330261230E-1,1.236121941E1,-5.074667358E1,5.223433112E1
1.270343833E0,-5.687866211E-1,1.248318768E1,-5.061068726E1,5.213055877E1
1.280387833E0,-4.768371582E-1,1.246117115E1,-5.055886841E1,5.207405625E1
1.290432833E0,-4.385070801E-1,1.246752357E1,-5.053080750E1,5.204799649E1
1.300476833E0,-5.013732910E-1,1.252781963E1,-5.053213501E1,5.206432856E1
1.310520833E0,-5.464477539E-1,1.250286674E1,-5.063624573E1,5.215984723E1
1.320565833E0,-6.788940430E-1,1.251244450E1,-5.048442078E1,5.201633306E1
1.330609833E0,-5.502929688E-1,1.258629894E1,-5.042213440E1,5.197219815E1
1.340653833E0,-5.281677246E-1,1.254880905E1,-5.051168823E1,5.204980517E1
1.350698833E0,-5.671386719E-1,1.256185913E1,-5.021086121E1,5.176149664E1
1.360742833E0,-5.006408691E-1,1.249944401E1,-5.041632080E1,5.194508778E1
1.370786833E0,-6.379394531E-1,1.242303944E1,-5.024612427E1,5.176303584E1
1.380831833E0,-5.471191406E-1,1.234196568E1,-5.040631104E1,5.189816614E1
1.390875833E0,-5.859069824E-1,1.231079197E1,-5.038740540E1,5.187282052E1
1.400919833E0,-6.669006348E-1,1.237666130E1,-5.050263977E1,5.200137619E1
1.410963833E0,-6.777648926E-1,1.226589012E1,-5.058105469E1,5.205146030E1
1.421008833E0,-6.137390137E-1,1.248158836E1,-5.067697144E1,5.219503959E1
